romaji,kanji,meaning
ude,腕,arm
ningyou,人形,doll puppet figure
bunka,文化,culture
kaigan,海岸,coast beach
sangyou,産業,industry occupation
doubutsuen,動物園,zoo
bijutsukan,美術館,museum art gallery
suidou,水道,water supply
hikoujou,飛行場,airfield airport
fudou,ふどう,grape grapevine
jiko,事故,accident incident trouble
musuko,息子,son
seikatsu,生活,life living
chuui,注意,attention notice heed warning
josei,女性,female woman
ikiru,生きる,to live exist
fune,船,boat ship
setsumei,説明,explanation
keisatsu,警察,police
kiken,危険,danger risk
sekai,世界,the world society
sensou,戦争,war
shousetsu,小説,novel story
kankei,関係,relationship relation connection
kenkyuu,研究,research study
kaigi,会議,business meeting
oto,音,sound noise
futsuu,普通,commonly normal ordinary regular
mizuumi,湖,lake
yume,夢,dream
kuukou,空港,airport
suugaku,数学,math mathematics
kyouiku,教育,education schooling training
akachan,赤ちゃん,baby infant
jiyuu,自由,freedom liberty
hi,火,fire flame blaze
mori,森,forest
houritsu,法律,law
kibun,気分,feeling mood
kabe,壁,wall barrier obstacle
inaka,田舎,rural area countryside country
ki,気,spirit mind heart
dansei,男性,male man
jishin,地震,earthquake
jinkou,人口,population
kojou,故障,breakdown failure fault out of order
zannen,残念,too bad regrettable disappointing
shima,島,island
kyoukai,教会,church
rekishi,歴史,history
shakai,社会,society public
juusho,住所,address of house residence
koujou,工場,factory plant mill
shumi,趣味,hobby pastime
keizai,経済,economics economy
taifuu,台風,typhoon hurricane
sotsugyou,卒業,graduation completion
kumo,雲,cloud
hikari,光,light
okurimono,贈り物,present gift
kagaku,科学,science
seiji,政治,government politics
tokubetsu,特別,special particular extrodinary
suiei,水泳,swimming swim
kougi,講義,lecture
yubi,指,finger toe
seisan,生産,production manufacture
kaiwa,会話,conversation
kisetsu,季節,season
omocha,おもちゃ,toy plaything
honyaku,翻訳,written translation
boueki,貿易,foreign international trade
bungaku,文学,literature
ha,葉,leaf blade of glass
koutsuu,交通,traffic transport communication
asobi,遊び,playing play
dougu,道具,tool instrument
nyuugaku,入学,admission entry to school
senaka,背中,back
hatsuon,発音,pronunciation
yubiwa,指輪,ring
igaku,医学,medical science
manga,漫画,manga
kagami,鏡,mirror looking glass
denpou,電報,telegram telegraph
kouchou,校長,principal
kougai,郊外,suburb
shimin,市民,citizen civilian public
suna,砂,sand grit
tebukuro,手袋,glove gloves mitten
kime,絹,silk
